Cover,Length,X0,Method,Black box,Experiment,Nominal,n_train,n_test
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,4,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
False,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
False,2,-1.0000,SC+,SVC,0,0.9000,10000,5000
True,3,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
True,2,1.0000,SC+,SVC,0,0.9000,10000,5000
